,ast_flag,cb_flag,disc_locale,discoverymethod,dkin_flag,etv_flag,ima_flag,micro_flag,obm_flag,pl_controv_flag,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_name,pl_orbeccen,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_tranmid,ptv_flag,pul_flag,rowupdate,rv_flag,st_age,st_mass,st_rad,st_teff,sy_dist,sy_pnum,sy_snum,tran_flag
0,0,0,Space,Transit,0,0,0,0,0,0,13.5,0.042,,,Kepler-11 c,0.0,13.02502,0.106,3.15,0.281,2454971.1748,0,0,2014-05-16,1,8.0,0.95,1.1,5680.0,646.346,6,1,1
1,0,0,Space,Transit,0,0,0,0,0,0,2.3,0.007,,,Kepler-11 f,0.0,46.68876,0.25,2.61,0.233,2454964.6487,0,0,2014-05-16,1,8.0,0.95,1.1,5680.0,646.346,6,1,1
2,0,0,Ground,Transit,0,0,0,0,0,0,169.08556,0.532,,,HAT-P-1 b,,4.46543,0.0553,13.922,1.242,,0,0,2016-02-24,1,2.7,1.13,1.14,5975.0,158.979,1,2,1
3,0,0,Ground,Transit,0,0,0,0,0,0,197.046,0.62,,,OGLE-TR-10 b,,3.101278,0.0434,14.011,1.25,,0,0,2014-05-14,1,,1.14,1.17,5950.0,1344.97,1,1,1
4,0,0,Ground,Transit,0,0,0,0,1,0,381.1,1.199,,,TrES-2 b,0.0,2.47063,0.03556,14.258,1.272,,0,0,2018-04-25,1,,1.06,1.02,5854.0,215.32,1,2,1
5,0,0,Ground,Transit,0,0,0,0,0,0,559.357,1.76,,,WASP-3 b,0.0,1.846835,0.03151,14.5,1.29,2454605.55915,0,0,2018-04-25,1,,1.26,1.36,6352.0,231.161,1,3,1
6,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,626.1251,1.97,HD 210702 b,0.106,354.29,1.2,,,,0,0,2018-12-03,1,,1.85,,,54.1963,1,1,0
7,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,14.4,0.045,BD-08 2823 b,0.15,5.6,0.056,,,,0,0,2018-04-25,1,4.5,0.74,,4746.0,41.3342,2,1,0
8,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,104.0,0.33,BD-08 2823 c,0.19,237.6,0.68,,,,0,0,2014-05-14,1,4.5,0.74,,4746.0,41.3342,2,1,0
9,0,0,Ground,Transit,0,0,0,0,0,0,225.968,0.711,,,HAT-P-30 b,0.035,2.810595,0.0419,15.02,1.34,2455456.46561,0,0,2018-04-25,1,1.0,1.24,1.22,6304.0,213.985,1,2,1
10,1,0,Ground,Imaging,0,0,1,0,0,0,2000.0,7.0,,,HR 8799 b,,170000.0,68.0,13.0,1.2,,0,0,2014-05-14,0,,1.61,1.49,7204.58,41.2441,4,1,0
11,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,3524.59,11.09,HD 110014 b,0.462,835.477,2.14,,,,0,0,2014-05-14,1,0.95,2.17,20.9,4445.0,100.758,1,1,0
12,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,451.0,1.42,HIP 5158 b,0.52,345.72,0.89,,,,0,0,2019-09-04,1,6.0,0.78,,4962.0,51.6026,2,1,0
13,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,18.0,0.058,HD 125612 c,0.27,4.1547,0.05,,,,0,0,2018-09-25,1,3.0,1.09,,5900.0,57.6207,3,2,0
14,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,826.32,2.6,HD 171238 b,0.4,1523.0,2.54,,,,0,0,2018-09-25,1,4.92,0.94,,5467.0,44.8113,1,1,0
15,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,184.33,0.58,HD 44219 b,0.61,472.3,1.19,,,,0,0,2015-01-22,1,,1.0,1.32,5752.0,52.9051,1,1,0
16,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,496.0,1.56,HD 6718 b,0.1,2496.0,3.56,,,,0,0,2018-04-25,1,,0.96,1.02,5746.0,51.3444,1,1,0
17,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,3359.32,10.57,HD 156846 b,0.84785,359.5546,1.096,,,,0,0,2018-04-25,1,,1.35,2.12,5969.0,47.7332,1,2,0
18,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,473.547,1.49,HD 132563 b,0.22,1544.0,2.62,,,,0,0,2019-01-28,1,,1.23,1.3,6289.0,105.155,1,3,0
19,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,70.8731,0.223,HD 137388 b,0.36,330.0,0.89,,,,0,0,2018-04-25,1,6.45,0.86,0.82,5240.0,40.4841,1,1,0
20,0,0,Space,Transit,0,0,0,0,0,0,1102.82,3.47,,,CoRoT-18 b,0.08,1.9000693,0.0295,14.68,1.31,2455321.72412,0,0,2019-12-02,1,,0.95,1.0,5440.0,764.889,1,1,1
21,0,0,Space,Transit,0,0,0,0,1,0,778.65,2.45,,,Kepler-17 b,0.011,1.4857108,0.02591,14.68,1.31,2455185.678035,0,0,2019-12-02,1,,1.04,1.01,5781.0,720.753,1,1,1
22,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,3.6,0.01133,HD 85512 b,0.11,58.43,0.26,,,,0,0,2018-04-25,1,5.61,0.69,,4715.0,11.281,1,1,0
23,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,476.7,1.5,HD 23127 b,0.44,1214.0,2.4,,,,0,0,2019-06-24,1,7.1,1.13,,,93.8555,1,1,0
24,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,540.3,1.7,HD 100655 b,0.085,157.57,0.76,,,,0,0,2018-04-25,1,,2.4,9.3,4861.0,137.178,1,2,0
25,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,572.094,1.8,kap CrB b,0.146,1208.0,2.7,,,,0,0,2018-12-03,1,2.5,1.8,4.71,4970.0,30.0651,1,1,0
26,0,0,Space,Transit,0,0,0,0,0,0,352.78,1.11,,,CoRoT-19 b,0.047,3.89713,0.0518,14.46,1.29,2455257.44102,0,0,2014-05-14,1,5.0,1.21,1.65,6090.0,790.663,1,1,1
27,0,0,Space,Transit,0,0,0,0,0,0,508.5,1.6,,,Kepler-24 c,,12.3335,0.106,2.8,0.25,2454970.586,0,0,2014-05-14,0,7.7,1.03,1.07,5800.0,1156.81,4,1,1
28,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,5.68,0.01789,GJ 667 C b,0.172,7.20066,0.049,,,,0,0,2014-05-16,1,,,,,7.24396,5,3,0
29,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,270.0,0.85,HD 155358 b,0.17,194.3,0.64,,,,0,0,2019-01-28,1,10.7,0.92,,5900.0,43.6197,2,1,0
30,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,425.9,1.34,HD 79498 b,0.59,1966.1,3.13,,,,0,0,2019-01-28,1,2.7,1.06,,5740.0,48.9489,1,2,0
31,0,0,Space,Imaging,0,0,1,0,0,0,3994.486,12.569,,,CHXR 73 b,,,210.0,,,,0,0,2014-05-14,0,0.002,0.35,,,190.374,1,1,0
32,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,4400.0,14.0,HD 13189 b,0.27,471.6,1.85,,,,0,0,2018-04-25,1,,,41.98,4184.4,497.823,1,1,0
33,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,5.79,0.018,GJ 433 b,0.08,7.3709,0.058,,,,0,0,2020-02-06,1,,0.48,,3600.0,9.06456,3,1,0
34,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,457.6752,1.44,HIP 5158 b,0.54,345.63,0.89,,,,0,0,2019-09-04,1,,0.78,0.75,4813.0,51.6026,2,1,0
